host;Questel unique family ID (FAN);Priority dates;Latest standardized assignees - inventors removed
avian;1733351;"2002-07-13
2003-07-10
2005-07-29";UNIVERSITY OF GEORGIA RESEARCH FOUNDATION
mult_sp;1743988;"2002-09-20
2003-09-22
2004-04-28
2004-06-02
2005-09-12";US DEPARTMENT OF AGRICULTURE
avian;1754209;"2002-12-04
2003-01-17";PROBIOTECH
mult_sp;1792790;"2005-10-06
2006-10-06";EMTHRAX
mult_sp;1795476;"2004-09-20
2005-09-20";VIRBAC
mult_sp;1796854;"2005-05-16
2005-10-17
2006-10-17";CNRS - CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE
mult_sp;1796854;"2005-05-16
2005-10-17
2006-10-17";INSERM - INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE
mult_sp;1796854;"2005-05-16
2005-10-17
2006-10-17";INSTITUT PASTEUR
suin;1799074;05/07/2006;AGRICULTURAL TECHNOLOGY RESEARCH INSTITUTE
suin;1799074;05/07/2006;ANIMAL TECHNOLOGY INSTITUTE TAIWAN
bovin;1804381;"2005-07-07
2006-07-06";UNIVERSITY OF BERN
avian_flu;1809713;"2002-06-15
2006-02-13
2006-06-15
2007-02-13";IBIO
avian_flu;1810422;"2006-05-24
2006-10-02
2007-05-24
2008-11-24
2012-12-12";UNIVERSITY OF WARWICK
avian_flu;1816280;"2005-04-11
2006-04-10";PURDUE RESEARCH FOUNDATION
avian_flu;1816280;"2005-04-11
2006-04-10";US DEPARTMENT OF HEALTH & HUMAN SERVICES
bovin;1823688;13/07/2005;MONASH UNIVERSITY
suin;1826173;27/07/2007;GHENT UNIVERSITY
avian_flu;1827507;"2006-04-19
2007-04-18";BIODIEM
avian_flu;1834119;"2006-09-22
2007-09-21
2007-09-24
2012-02-09
2013-05-13
2016-04-18
2018-10-01";AVIEX TECHNOLOGY
avian_flu;1835965;"2006-10-04
2007-10-04";UNIVERSITY OF QUEENSLAND
avian;1841066;"2008-01-30
2009-01-29";UNI AUT NOMA DE BARCELONA
mult_sp;1842127;"2007-11-21
2008-11-21
2010-10-15
2015-11-11";ZOETIS SERVICES
mult_sp;1843510;"2007-11-26
2008-06-04
2008-11-26
2010-08-13
2014-01-28";LONDON SCHOOL OF HYGIENE & TROPICAL MEDICINE
suin;1844217;22/05/2007;UNIVERSITY OF CONNECTICUT
suin;1844217;22/05/2007;US DEPARTMENT OF AGRICULTURE
suin;1847537;29/02/2008;GHENT UNIVERSITY
avian_flu;1853265;"2008-08-18
2009-08-13
2013-06-18";KITASATO DAIICHI SANKYO VACCINE
avian_flu;1853885;"2008-03-28
2009-03-27
2011-07-18";I2 PHARMACEUTICALS
avian_flu;1861390;"2008-10-08
2009-10-05";ABIVAX
mult_sp;1863667;"2008-10-24
2009-10-23";PHAROS VACCINE
avian_flu;1902941;26/08/2011;NOVAVAX
avian_flu;1907858;"2011-09-14
2012-11-07";ZOETIS SERVICES
avian_flu;1936887;"2006-04-10
2012-08-22";PURDUE RESEARCH FOUNDATION
avian_flu;1936887;"2006-04-10
2012-08-22";US CENTERS FOR DISEASE CONTROL & PREVENTION (CDC)
avian;2459608;"2001-03-15
2002-03-11";AKZO NOBEL
mult_sp;2689305;"2004-06-25
2005-04-20
2009-05-04";MERIAL
mult_sp;2694934;"2003-02-26
2003-06-20
2004-02-26
2005-08-25
2009-06-02";CNRS - CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE
mult_sp;2694934;"2003-02-26
2003-06-20
2004-02-26
2005-08-25
2009-06-02";INSTITUT PASTEUR
avian_flu;2708209;"2004-12-09
2005-12-09
2009-07-24";UNIVERSITY OF PITTSBURGH
mult_sp;2743103;"2005-11-10
2006-11-13";GENVEC
avian;2780634;04/01/2010;FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE SAO PAULO FAPESP
avian;2780634;04/01/2010;UNIVERSIDADE ESTADUAL PAULISTA JULIO DE MESQUITA FILHO - UNESP
suin;2786464;30/05/2006;US DEPARTMENT OF AGRICULTURE
bovin;4023085;02/02/1999;AKZO NOBEL
avian;4034164;"1998-12-14
1999-12-08";KAKETSUKEN
bovin;4034934;"1999-02-02
2000-01-27
2000-04-26";AKZO NOBEL
bovin;4042895;"2000-11-22
2000-12-18
2001-11-21";PFIZER
bovin;4072662;"2004-05-14
2004-05-17
2005-05-16
2006-12-13";NATIONAL RESEARCH COUNCIL OF CANADA
avian;4097453;"2003-11-13
2004-11-08";UNIVERSITY OF GEORGIA
avian;4112210;"2004-03-31
2004-09-07";KAKETSUKEN
avian_flu;4116102;"2005-06-01
2006-06-01";VARIATION BIOTECHNOLOGIES
mult_sp;4119016;"2004-09-09
2005-09-09";RESEARCH DEVELOPMENT FOUNDATION
bovin;4136588;09/01/2009;BOEHRINGER INGELHEIM VETMEDICA
avian_flu;4150230;"2007-01-18
2007-05-01
2007-08-14
2008-01-17";IMMUNEREGEN BIOSCIENCES
avian_flu;4151148;"2006-10-18
2007-10-18";ANTIGEN EXPRESS
avian_flu;4159224;"2008-03-25
2009-03-25";JUVARIS BIOTHERAPEUTICS
avian_flu;4178215;"2008-06-13
2009-06-15";WISCONSIN ALUMNI RESEARCH FOUNDATION
avian;4202902;"2009-04-03
2010-04-02
2014-05-02
2017-02-16";MERIAL
suin;4228736;02/06/2010;VIRGINIA TECH INTELLECTUAL PROPERTIES
bovin;4699859;"2007-03-26
2008-03-25";WYETH
avian;4796671;23/12/1999;CHINA ANIMAL MEDICINE SUPERVISORY OFFICE
avian;4833187;04/09/1998;SHANGHAI INSTITUTE OF BIOCHEMISTRY CHINESE ACADEMY OF SCIENCES
mult_sp;4847065;"2002-07-25
2002-11-26";CAPITAL MEDICAL UNIVERSITY
mult_sp;4861958;20/11/2001;SECOND MILITARY MEDICAL UNIVERSITY
mult_sp;4947255;23/09/1998;BEIJING BIOLOGICAL PRODUCT INSTITUTE MINISTRY OF PUBLIC HEALTH
avian;4962353;18/06/2003;CANGZHOU XINGJI ANIMAL PHARMACEUTICAL
avian;4962353;18/06/2003;INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SCIENCES
avian;4962356;18/06/2003;INSTITUTE OF ZOOLOGY CHINESE ACADEMY OF SCIENCES
avian_flu;4963728;02/12/2003;HARBIN VETERINARY RESEARCH INSTITUTE CAAS
mult_sp;4969736;29/09/2003;XIAMEN UNIVERSITY JIANNAN APPLIED TECHNOLOGY
mult_sp;4977148;08/09/2003;HUAZHONG AGRICULTURAL UNIVERSITY
mult_sp;4987760;15/04/1999;HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY
mult_sp;4991285;16/09/2002;FUDAN UNIVERSITY
mult_sp;4995290;20/01/2003;GANSU YASHENG SALT CHEMICAL INDUSTRY
avian;4996653;"2005-09-02
2006-01-13";HARBIN VETERINARY RESEARCH INSTITUTE CAAS
mult_sp;5010726;07/11/2003;FUDAN UNIVERSITY
suin;5023626;22/02/2001;TIANYIN TEST ANIMAL CENTRE
avian;5026178;29/03/2005;HENAN INSTITUTE OF SCIENCE & TECHNOLOGY
mult_sp;5029664;17/03/2001;SHENZHEN SANFANGYUAN INFORMATION TECHNOLOGY
mult_sp;5037026;28/04/2000;LANZHOU BIOPHARMACEUTICAL FACTORY ZHONGMU INDUSTRY
mult_sp;5067730;13/06/2003;FUDAN UNIVERSITY
avian;5071368;19/06/2003;HARBIN VETERINARY RESEARCH INSTITUTE CAAS
suin;5079762;18/09/2001;MALTAGEN FORSCHUNG
avian;5086671;12/06/2002;BEIJING HUAXING CHENGGUANG BIOTECHNOLOGY
mult_sp;5092521;18/10/2002;RESEARCH INSTITUTE OF MILITARY VETERINARIAN EQUIPAGE UNIVERSITY OF
mult_sp;5102758;31/01/2003;LANZHOU VETERINARY RESEARCH INSTITUTE CAAS
avian;5106735;25/12/2003;SOUTH CHINA AGRICULTURAL UNIVERSITY
avian;5106773;04/09/2003;YANGTZE UNIVERSITY
mult_sp;5120834;28/03/2003;RESEARCH INSTITUTE OF MILITARY VETERINARIAN EQUIPAGE UNIVERSITY OF
mult_sp;5125032;"2002-10-09
2003-10-09";CID
avian;5140853;"2003-07-02
2004-07-02";BIOTECHNOLOGY RESEARCH & DEVELOPMENT
avian;5140853;"2003-07-02
2004-07-02";US DEPARTMENT OF AGRICULTURE
avian;5162044;10/10/2004;YANGZHOU UNIVERSITY
suin;5165753;11/11/2004;MILITARY MEDICINE INSTITUTE UNION SERVICE DEPARTMENT NANJING MILITARY REGION PLA
avian_flu;5169058;20/11/2003;WUHAN INSTITUTE OF VIROLOGY CHINESE ACADEMY OF SCIENCES
suin;5174883;30/09/2003;WUHAN UNIVERSITY
suin;5195038;11/11/2004;PFIZER
suin;5195038;11/11/2004;ZOETIS SERVICES
bovin;5197143;"2003-07-29
2004-07-16
2004-07-26
2008-04-04";PFIZER
bovin;5197143;"2003-07-29
2004-07-16
2004-07-26
2008-04-04";ZOETIS SERVICES
