host;Questel unique family ID (FAN);Priority dates;Latest standardized assignees - inventors removed
avian;5256973;"2005-09-02
2006-01-24";BU ZHIGAO
avian;44683694;"2011-06-17
2012-06-15";GHENT UNIVERSITY
avian;36293101;2008-03-04;pf 
avian;64971412;2013-11-15;LANZHOU VETERINARY RESEARCH INSTITUTE CAAS
avian;43526178;"2000-02-29
2001-02-02
2004-06-01";WYETH
avian;81750691;2017-04-13;KONKUK UNIVERSITY INDUSTRIAL COOPERATION
avian;65081719;"2012-10-15
2013-09-03";KONKUK UNIVERSITY INDUSTRIAL COOPERATION
avian;36292790;2007-11-22;FEDERAL INSTITUTE
avian;5106735;2003-12-25;SOUTH CHINA AGRICULTURAL UNIVERSITY
avian;74245260;2015-03-06;KONKUK UNIVERSITY INDUSTRIAL COOPERATION
avian;38598753;2004-04-22;CRIMEAN EX STATION OF NATIONAL RESEARCH
avian;35387168;2011-05-30;KONKUK UNIVERSITY INDUSTRIAL COOPERATION
avian;35387168;2011-05-30;KONKUK UNIVERSITY INDUSTRY ACADEMIC COLLABORATION FOUNDATION
avian;70842619;2014-02-20;NATIONAL UNIVERSITY CHONBUK INDUSTRY COOP FOUND
avian;81816395;2017-02-23;ECOLVET LABORATORIO DE ANALISES AMBIENTAIS E VET EPP
avian;34233503;2009-10-27;KONKUK UNIVERSITY INDUSTRIAL COOPERATION
avian;73921861;2016-06-06;GUANGXI UNIVERSITY
avian;67986453;2013-05-15;PU LIKE BIO ENGINEERING
avian;45548969;2013-03-25;ZHEJIANG EBVAC BIOTECH
avian;45864772;2013-05-09;BEIJING ZHONGHAI BIOTECH
avian;7310191;2010-12-29;YEBIO BIOENGINEERING
avian;64920211;2012-09-10;HARBIN VETERINARY RESEARCH INSTITUTE CAAS
avian;45911861;2013-05-23;LANZHOU VETERINARY RESEARCH INSTITUTE CAAS
avian;8039675;2012-08-27;SHANGHAI QISHENG BIOTECHNOLOGY
avian;7377085;2011-04-21;JIANGSU ACADEMY OF AGRICULTURAL SCIENCES
avian;75693384;2015-09-08;KONKUK UNIVERSITY INDUSTRIAL COOPERATION
avian;75416003;2016-08-31;TIANJIN RINGPU BIOLOGY TECHNOLOGY
avian;7173687;2010-06-29;HARBIN VETERINARY RESEARCH INSTITUTE CAAS
avian;61785162;2013-11-19;ZHEJIANG MIBOLERONE BIOLOGICAL TECHNOLOGY
avian;8028309;2011-08-01;PU LIKE BIO ENGINEERING
avian;38297197;2007-08-24;KAOHSIUNG BIOLOGICAL PRODUCTS
avian;6561394;2006-12-30;HENAN AGRICULTURAL UNIVERSITY
avian;5343527;2006-05-09;HARBIN VETERINARY RESEARCH INSTITUTE CAAS
avian;83632362;2017-08-30;SEOUL NATIONAL UNIVERSITY R&DB FOUNDATION (SNU)
avian;61816124;2013-09-23;TIANJIN RINGPU BIOLOGY TECHNOLOGY
avian;76764985;2017-05-04;HARBIN VETERINARY RESEARCH INSTITUTE CAAS
avian;7961785;2012-09-03;JIANGSU ACADEMY OF AGRICULTURAL SCIENCES
avian;7433595;2011-04-29;HARBIN VETERINARY RESEARCH INSTITUTE CAAS
avian;7433595;2011-04-29;NATIONAL ENGINEERING RESEARCH CENTER OF VETERINARY BIOLOGICS
avian;7179399;2010-08-26;NATIONAL RESEARCH CENTER OF VETERINARY BIOLOGICALS ENGINEERING & TECHNOLOGY
avian;73800739;2016-05-11;HARBIN BOAO BIOLOGICAL MEDICAL TECHNOLOGY DEVELOPMENT
avian;7737098;2012-01-04;YANGZHOU UNIVERSITY
avian;7474836;2011-06-30;HENAN AGRICULTURAL UNIVERSITY
avian;62240637;2012-01-17;HARBIN VETERINARY RESEARCH INSTITUTE CAAS
avian;80695543;"2017-01-27
2017-11-08
2018-01-26";UNIVERSITY OF GEORGIA RESEARCH FOUNDATION
avian;7159707;2010-07-14;HENAN INSTITUTE OF SCIENCE & TECHNOLOGY
avian;7856035;2012-05-30;QINGDAO AGRICULTURAL UNIVERSITY
avian;77568004;2012-12-06;PU LIKE BIO ENGINEERING
avian;78118340;2017-09-29;TIANJIN RINGPU BIOLOGY TECHNOLOGY
avian;74468631;2016-07-01;SICHUAN UNIVERSITY
avian;68317734;2014-09-17;PU LIKE BIO ENGINEERING
avian;74804039;2016-07-06;SOUTH CHINA AGRICULTURAL UNIVERSITY
avian;73855099;2016-06-08;FUZHOU BEI NONG BIOTECH
avian;44984306;2012-12-28;SUN YAT SEN UNIVERSITY
avian;76283127;2016-11-30;SUN YAT SEN UNIVERSITY
avian;77693563;2017-05-15;HARBIN VETERINARY RESEARCH INSTITUTE CAAS
avian;7851587;2012-06-18;YEBIO BIOENGINEERING
avian;8112523;2011-11-30;PU LIKE BIO ENGINEERING
avian;59528817;2013-10-08;JIANGSU ACADEMY OF AGRICULTURAL SCIENCES
avian;6793342;2008-09-04;FUZHOU BEI NONG BIOTECH
avian;71122593;2014-12-31;FUZHOU BEI NONG BIOTECH
avian;7025943;2009-11-17;QYH BIOTECH
avian;72029589;2015-10-16;TIANJIN RINGPU BIOLOGY TECHNOLOGY
avian;7310190;2010-12-29;YEBIO BIOENGINEERING
avian;45435585;2013-03-25;ZHEJIANG EBVAC BIOTECH
avian;44848439;2012-12-31;YEBIO BIOENGINEERING
avian;73992997;2016-05-20;GUONIAN INDUSTRY
avian;70081479;2015-04-23;BIOTECHNOLOGY RESEARCH INSTITUTE THE CHINESE ACADEMY OF AGRICULTURAL SCIENCES
avian;6939828;2009-10-21;LIAONING YIKANG BIOLOGICAL PRODUCTS
avian;72514608;2015-12-08;QYH BIOTECH
avian;72514608;2015-12-08;CHINA ANIMAL HUSBANDRY INDUSTRY
avian;65310856;2011-11-25;ENGENE ENGENHARIA GENETICA
avian;61986551;2006-07-18;LUOYANG PU LIKE BIO ENGINEERING
avian;8169625;2011-11-30;PU LIKE BIO ENGINEERING
avian;66696902;2014-04-16;JIANGSU ACADEMY OF AGRICULTURAL SCIENCES
avian;1705509;"2002-03-01
2002-11-21
2003-02-25";AKZO NOBEL
avian;22412790;1999-01-14;KAKETSUKEN
avian;7486957;2011-07-06;PU LIKE BIO ENGINEERING
avian;65091608;2013-12-25;HARBIN PHARMACEUTICAL BIO VACCINE
avian;68620913;2014-11-07;NORTHEAST AGRICULTURAL UNIVERSITY
avian;66300306;2012-11-28;PU LIKE BIO ENGINEERING
avian;8095140;2012-12-20;HARBIN VETERINARY RESEARCH INSTITUTE CAAS
avian;68208939;2014-07-17;INSTITUTE OF ANIMAL SCIENCE & VETERINARY MEDICINE SHANDONG ACADEMY OF AGRICULTURAL SCIENCES
avian;67888017;2014-07-10;HARBIN VETERINARY RESEARCH INSTITUTE CAAS
avian;66164588;"2013-07-19
2013-08-15";BEIJING ZHONGLIANKANG BIOTECHNOLOGY
avian;73586486;2016-03-21;HARBIN VETERINARY RESEARCH INSTITUTE CAAS
avian;7349909;2010-12-29;YEBIO BIOENGINEERING
avian;73585409;2016-03-13;SHANDONG ACADEMY OF AGRICULTURAL SCIENCES POULTRY RESEARCH INSTITUTE
avian;76275441;2016-11-17;HENAN AGRICULTURAL UNIVERSITY
avian;59569572;"2013-07-01
2013-09-30";LANZHOU VETERINARY RESEARCH INSTITUTE CAAS
avian;74535393;2016-06-15;INSTITUTE OF ANIMAL SCIENCE & VETERINARY HUBEI ACADEMY OF AGRICULTURAL SCIENCES
avian;7522343;2011-09-09;QYH BIOTECH
avian;73436346;2016-02-23;YEBIO BIOENGINEERING
avian;77198925;2016-05-20;COUNTRY YEAR INDUSTRIAL
avian;7856041;2012-05-30;QINGDAO AGRICULTURAL UNIVERSITY
avian;80844943;2017-02-06;UNIVERSITY OF MARYLAND
avian;69403655;2015-02-09;QINGDAO MINGQIN BIOLOGICAL TECHNOLOGY
avian;8150751;2012-12-03;QINGDAO KDN PHARMACEUTICAL
avian;8150751;2012-12-03;QINGDAO BOITE BIOPHARMACEUTICAL
avian;67986450;2014-08-07;HARBIN BOAO BIOLOGICAL MEDICAL TECHNOLOGY DEVELOPMENT
avian;78695739;2017-09-28;HENAN INSTITUTE OF SCIENCE & TECHNOLOGY
avian;7851577;2012-06-18;YEBIO BIOENGINEERING
